DC,,,,,,CLUST COEFF,
,,,,,,,
NR,SR,WR,ER,CR,,NR,0.8080361387
CSMT,TPJ,BRC,SDAH,DLI,,SR,0.7656283271
TNA,MS,ADI,DDJ,GZB,,WR,0.7883414756
KYN,VM,ANND,BDC,NJP,,ER,0.761060161
DDR,CGL,BVI,NH,UMB,,CR,0.7735868143
PUNE,TBM,ST,BP,NBQ,,IRN,0.7635363552
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
BC,,,,,,,
,,,,,,,
NR,SR,WR,ER,CR,,,
CSMT,MSB,BRC,DDJ,DLI,,,
BSL,AVD,BVI,BWN,BE,,,
KYN,MS,ANND,BP,CNB,,,
DDR,KPD,ND,NH,NDLS,,,
NGP,ED,JND,HWH,GZB,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
CC,,,,,,AVG PATH LENGTH,
,,,,,,NR,2.401250527
NR,SR,WR,ER,CR,,SR,2.123635554
TNA,VMN,ST,SDAH,UMB,,WR,2.475414781
WR,VPT,VG,SNT,SRE,,ER,2.358780969
PUNE,TPJ,WKR,NH,SZP,,CR,2.099377615
PVR,TVC,VAPI,UDL,TDL,,IRN,2.884106064
NGP,VRI,SUNR,RPH,UHP,,,
,,,,,,,
,,,,,,,
IN/OUT DEGREE,,,,,,,
,Correlation Coefficient,,,,,,
IRN,0.9635,,,,,,
NR,0.2287,,,,,,
SR,-0.0288,,,,,,
WR,0.1889,,,,,,
ER,0.0139,,,,,,
CR,0.1309,,,,,,